proxy,proxy_symbol,reference_symbol,n_obs,correlation,r_squared,beta,tracking_error_ann,mean_ann_diff,proxy_ann_return,proxy_ann_vol,ref_ann_return,ref_ann_vol
Carbon,KRBN,KEUA,1067,0.6891058148653371,0.4748668240812202,0.34706593810982306,0.42341277529253674,0.24246519349753973,0.05120931651137678,0.28508806574790846,-0.19125587698616295,0.566047607338033
Coal,COAL,KOL,0,,,,,,,,,
U_Phys,SRUUF,URA,1116,0.6946894217448077,0.48259339268413537,0.6932730386637065,0.3306156537568011,-0.0526848668028903,0.16757020191439453,0.4226616264132452,0.22025506871728484,0.42352514012760567
U_Min,URA,URNM,1526,0.9486386198832627,0.8999152311340214,0.8556398270099221,0.1459023124311729,-0.00936052238834529,0.26401406826133794,0.4115218439981022,0.27337459064968317,0.4562498165921022
